"DisplayName","StartMode","StartName","Description"
"Windows Audio Endpoint Builder","Manual","LocalSystem","Windows Audio サービスのオーディオ デバイスを管理します。このサービスが停止している場合、オーディオ デバイスと効果は適切に機能しません。このサービスが無効な場合、このサービスに明示的に依存しているすべてのサービスは開始できなくなります。"
"Windows Audio","Manual","NT AUTHORITY\LocalService","Windows ベースのプログラムのオーディオを管理します。サービスが停止されると、オーディオ デバイスと効果は適切に機能しません。このサービスが無効にされると、これに明示的に依存するサービスは起動できなくなります"
"ActiveX Installer (AxInstSV)","Disabled","LocalSystem","インターネットからの ActiveX コントロールのインストールに対し、ユーザー アカウント制御により検証を行い、グループ ポリシー設定に基づいて ActiveX コントロールのインストールを管理します。このサービスはオンデマンドで開始され、無効になっている場合、ActiveX コントロールのインストールはブラウザーの既定の設定に従って行われます。"
"Base Filtering Engine","Auto","NT AUTHORITY\LocalService","ベース フィルター エンジン (BFE) は、ファイアウォールとインターネット プロトコル セキュリティ (IPsec) ポリシーを管理し、ユーザー モード フィルターリングを実装するサービスです。BFE サービスを停止または無効にすると、システムのセキュリティが大幅に低下すると共に、IPsec 管理とファイアウォール アプリケーションの予測不能な動作の原因となります。"
"Background Intelligent Transfer Service","Manual","LocalSystem","アイドル状態のネットワーク帯域幅を使ってバックグラウンドでファイルを転送します。サービスを使用不可にすると、Windows Update や MSN Explorer など、BITS に依存しているアプリケーションはプログラムや情報を自動的にダウンロードできなくなります。"
"Background Tasks Infrastructure Service","Auto","LocalSystem","システム上で実行可能なバックグラウンド タスクを制御する Windows インフラストラクチャ サービス。"
"Bluetooth サポート サービス","Manual","NT AUTHORITY\LocalService","Bluetooth サービスは、リモートの Bluetooth デバイスの検出と関連付けをサポートします。このサービスを停止または無効にすると、インストール済み Bluetooth デバイスが正常に動作しなくなり、新しいデバイスの検出や関連付けができなくなる可能性があります。"
"Syunkai Schedule Server","Manual","LocalSystem","Syunkai Schedule Server"
"Syunkai Manage Server","Auto","LocalSystem","Syunkai Manage Server"
"Syunkai Server Service Watch Service","Auto","LocalSystem","Syunkai Service Watch Service"
"機能アクセス マネージャー サービス","Manual","LocalSystem","アプリ機能への UWP アプリのアクセスを管理し、特定のアプリ機能へのアプリのアクセス権をチェックするサービスです"
"Connected Devices Platform Service","Auto","NT AUTHORITY\LocalService","このサービスは、Connected Devices Platform のシナリオに使用されます"
"Certificate Propagation","Manual","LocalSystem","ユーザー証明書とルート証明書をスマート カードから現在のユーザーの証明書ストアにコピーし、スマート カードがスマート カード リーダーに挿入されたときに検出します。また、必要に応じてスマート カード プラグ アンド プレイ ミニドライバーをインストールします。"
"Client License Service (ClipSVC)","Manual","LocalSystem","Microsoft Store のためのインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始され、無効にすると、Windows Store を使用して購入したアプリケーションが正しく動作しなくなります。"
"COM+ System Application","Manual","LocalSystem","コンポーネント オブジェクト モデル (COM)+ ベース コンポーネントの構成と追跡を管理します。サービスが停止すると、COM+ ベース コンポーネントは正しく機能しません。サービスが無効になると、このサービスに依存するサービスは開始できなくなります。"
"CoreMessaging","Auto","NT AUTHORITY\LocalService","Manages communication between system components."
"Cryptographic Services","Auto","NT Authority\NetworkService","提供される管理サービスは、次の 3 つです。カタログ データベース サービス: Windows ファイルの署名を確認し、新しいプログラムをインストールできるようにします。保護ルート サービス: 信頼されたルート証明機関の証明書をこのコンピューターに追加および削除します。ルート証明書自動更新サービス: Windows Update からルート証明書を取得し、SSL のようなシナリオを有効にします。このサービスが停止している場合は、これらの管理サービスは正常に機能しません。このサービスが無効の場合は、明示的にこれに依存しているサービスは開始できません。"
"Offline Files","Disabled","LocalSystem","オフライン ファイル サービスは、オフライン ファイル キャッシュのメンテナンス活動の実行、ユーザーのログオンおよびログオフ イベントへの応答、パブリック API の内部の実装、およびオフライン ファイル活動やキャッシュ状態の変化に興味を持つユーザーに対する興味深いイベントのディスパッチを行います。"
"DCOM Server Process Launcher","Auto","LocalSystem","DCOMLAUNCH サービスは、オブジェクト アクティブ化要求に応答して、COM および DCOM サーバーを起動します。このサービスが停止しているか無効になっている場合、COM または DCOM を使用するプログラムは正常に機能しません。DCOMLAUNCH サービスを実行しておくことを推奨します。"
"Syunkai-Remote Client Base Module","Auto","LocalSystem","Systemwalker Desktop Restore"
"Declared Configuration(DC) service","Manual","LocalSystem","Process Declared Configuration documents recevied from MDM and other channels and perform configurations on device"
"Optimize drives","Manual","localSystem","記憶域ドライブのファイルを最適化すると、コンピューターがより効率的に動作します。"
"Device Association Service","Manual","LocalSystem","システムとワイヤード (有線) またはワイヤレス デバイスの間のペアリングを有効にします。"
"Device Install Service","Manual","LocalSystem","ユーザーからの最小限の入力、または入力なしで、コンピューターがハードウェアの変更を認識し、対応します。"
"DevQuery Background Discovery Broker","Manual","LocalSystem","アプリによるバックグラウンド タスクを使用したデバイス検出を可能にします"
"DFS Namespace","Auto","LocalSystem","異なるファイル サーバー上にある共有フォルダーを 1 つまたは複数の論理的に構造化されたグループに集約します。各名前空間は、ユーザーに対して一連のサブフォルダーを格納した単一の共有フォルダーとして表示されます。"
"DFS Replication","Auto","LocalSystem","ローカルまたはワイド エリア ネットワーク (WAN) のネットワーク接続全体にわたって、複数のサーバー上のフォルダーを同期させることができます。このサービスでは RDC (Remote Differential Compression) プロトコルを使用し、前回のレプリケーション以降に変更されたファイルの部分のみを更新します。"
"DHCP Client","Auto","NT Authority\LocalService","このコンピューターの IP アドレスと DNS レコードを登録および更新します。このサービスが停止している場合、このコンピューターは動的 IP アドレスと DNS 更新情報を受信できなくなります。このサービスが無効になっている場合、このサービスに明示的に依存するサービスはすべて起動しなくなります。"
"Microsoft (R) 診断ハブ標準コレクター サービス","Manual","LocalSystem","診断ハブ標準コレクター サービス。実行すると、このサービスはリアルタイムの ETW イベントを収集して処理します。"
"Connected User Experiences and Telemetry","Auto","LocalSystem","Connected User Experiences and Telemetry サービスを使用すると、アプリケーション内エクスペリエンスと接続ユーザーのエクスペリエンスをサポートする機能が有効になります。また、[フィードバックと診断] で診断と使用状況に関するプライバシー オプション設定が有効になっている場合、このサービスは、イベント ドリブン方式による診断情報および使用状況情報の収集と送信も管理します (これらの情報は、Windows プラットフォームのエクスペリエンスと品質を向上するために使用されます)。"
"ポリシー サービスの表示","Auto","NT AUTHORITY\LocalService","ローカルおよびリモート ディスプレイの接続と構成を管理します"
"デバイス管理登録サービス","Manual","LocalSystem","デバイス管理へのデバイス登録アクティビティを行います"
"デバイス管理ワイヤレス アプリケーション プロトコル (WAP) プッシュ メッセージ ルーティング サービス","Disabled","LocalSystem","デバイスが受信したワイヤレス アプリケーション プロトコル (WAP) プッシュ メッセージをルーティングし、デバイス管理セッションを同期します。"
"DNS Server","Auto","LocalSystem","DNS クライアントが DNS クエリや動的 DNS 更新の要求に応答することで DNS 名を解決できるようにします。このサービスを停止すると、DNS 更新は発生しません。このサービスを無効にすると、このサービスに明示的に依存するサービスは起動できなくなります。"
"DNS Client","Auto","NT AUTHORITY\NetworkService","DNS クライアント サービス (dnscache) により、このコンピューターのドメイン ネーム システム (DNS) 名がキャッシュされ、フル コンピューター名が登録されます。サービスが停止されると、 DNS 名は引き続き解決されます。しかし、DNS 名のクエリの結果はキャッシュされず、コンピューター名は登録されません。サービスが使用不可にされた場合、このサービスに明示的に依存するサービスはすべて起動できなくなります。"
"Delivery Optimization","Manual","NT Authority\NetworkService","コンテンツ配信の最適化タスクを実行します"
"Wired AutoConfig","Manual","localSystem","Wired AutoConfig (DOT3SVC) サービスは、イーサネット インターフェイスに対して IEEE 802.1X 認証を実行します。現在のワイヤード ネットワーク展開が 802.1X 認証を強制する場合、DOT3SVC サービスは、レイヤー 2 接続の確立とネットワーク リソースへのアクセスの提供を行うように構成されています。802.1X 認証を強制しないワイヤード ネットワークには、DOT3SVC サービスによる影響はありません。"
"Diagnostic Policy Service","Auto","NT AUTHORITY\LocalService","診断ポリシー サービスを使用すると、Windows コンポーネントの問題を検出、トラブルシューティング、および解決できます。このサービスを停止すると、診断は実行されません。"
"Device Setup Manager","Manual","LocalSystem","デバイスに関連するソフトウェアの検出、ダウンロード、およびインストールを有効にします。このサービスが無効になっている場合、デバイスが古いソフトウェアで構成され、正常に動作しない可能性があります。"
"DS Role Server","Manual","LocalSystem","このサービスは、DS 役割サーバーをホストしており、DC の昇格、降格、複製に使用されます。このサービスが無効の場合、これらの操作は失敗します。"
"Data Sharing Service","Manual","LocalSystem","アプリケーション間でデータのやり取りを処理します。"
"Extensible Authentication Protocol","Manual","localSystem","拡張認証プロトコル (EAP) サービスは 802.1x ワイヤードおよびワイヤレス、VPN、ネットワーク アクセス保護 (NAP) のようなシナリオでネットワーク認証を提供します。EAP は、認証プロセス中にワイヤレスおよび VPN クライアントなどのネットワーク アクセス クライアントで使用されるアプリケーション プログラミング インターフェイス (API) も提供します。このサービスを無効にすると、このコンピューターは EAP 認証を必要とするネットワークにアクセスできません。"
"Microsoft Edge Update Service (edgeupdate)","Auto","LocalSystem","Microsoft ソフトウェアを最新の状態に維持してください。このサービスが無効または停止されている場合、Microsoft ソフトウェアは最新の状態に維持されません。この場合、セキュリティの脆弱性が発生する可能性があり、こうした脆弱性は解決することができません。また、機能が動作しなくなる場合もあります。このサービスでは、サービスを使用している Microsoft ソフトウェアがない場合は、サービス自体がアンインストールされます。"
"Microsoft Edge Update Service (edgeupdatem)","Manual","LocalSystem","Microsoft ソフトウェアを最新の状態に維持してください。このサービスが無効または停止されている場合、Microsoft ソフトウェアは最新の状態に維持されません。この場合、セキュリティの脆弱性が発生する可能性があり、こうした脆弱性は解決することができません。また、機能が動作しなくなる場合もあります。このサービスでは、サービスを使用している Microsoft ソフトウェアがない場合は、サービス自体がアンインストールされます。"
"Encrypting File System (EFS)","Manual","LocalSystem","暗号化されたファイルを NTFS ファイル システム ボリュームに格納するために使用されるファイル暗号化のコア テクノロジを提供します。このサービスが停止されている場合や無効な場合は、アプリケーションから暗号化されたファイルにアクセスできません。"
"埋め込みモード","Manual","LocalSystem","埋め込みモード サービスでは、バックグラウンド アプリケーションに関連するシナリオを使用できます。このサービスを無効にすると、バックグラウンド アプリケーションがアクティブになりません。"
"Enterprise App Management Service","Manual","LocalSystem","エンタープライズ アプリケーション管理機能を有効にします。"
"Windows Event Log","Auto","NT AUTHORITY\LocalService","このサービスでは、イベントとイベント ログを管理します。イベントのログ、イベントの照会、イベントの受信登録、イベント ログのアーカイブ、およびイベント メタデータの管理をサポートしています。イベントは XML 形式およびテキスト形式で表示できます。このサービスを停止すると、システムのセキュリティと信頼性に危害が加えられる可能性があります。"
"COM+ Event System","Auto","NT AUTHORITY\LocalService","サポート システム イベント通知サービス (SENS) は、イベント通知先として登録された COM コンポーネントにイベントを自動的に通知します。サービスが停止すると、SENS は終了し、ログオンやログオフを通知できなくなります。このサービスが無効な場合、このサービスに依存するサービスは開始できません。"
"Function Discovery Provider Host","Manual","NT AUTHORITY\LocalService","FDPHOST サービスは、機能探索 (FD) ネットワーク探索プロバイダーをホストします。これらの FD プロバイダーは、SSDP (Simple Services Discovery Protocol) および WS-D (Web Services ? Discovery) プロトコルにネットワーク探索サービスを提供します。FDPHOST サービスを停止または無効にすると、FD を使用する場合にこれらのプロトコルでネットワーク探索が機能しなくなります。このサービスを利用できない場合、FD を使用し、SSDP および WS-D の探索プロトコルに依存するネットワーク サービスは、ネットワーク デバイスやリソースを発見できなくなります。"
"Function Discovery Resource Publication","Manual","NT AUTHORITY\LocalService","このコンピューターおよびこのコンピューターに接続されているリソースを公開して、ネットワーク上で検出できるようにします。このサービスを停止するとネットワーク リソースは公開されなくなり、ネットワーク上の他のコンピューターがこれらのリソースを検出されなくなります。"
"Windows Font Cache Service","Auto","NT AUTHORITY\LocalService","共通で使用されるフォント データをキャッシュすることによって、アプリケーションのパフォーマンスを最適化します。このサービスがまだ実行されていない場合は、アプリケーションによって起動されます。このサービスは無効にできますが、無効にすると、アプリケーションのパフォーマンスが低下します。"
"Windows カメラ フレーム サーバー","Manual","NT AUTHORITY\LocalService","複数のクライアントがカメラ デバイスからビデオ フレームにアクセスできるようにします。"
"Windows カメラ フレーム サーバー モニター","Manual","LocalSystem","Windows カメラフレームサーバーサービスの正常性と状態を監視します。"
"Group Policy Client","Auto","LocalSystem","管理者が構成したコンピューターやユーザーの設定をグループ ポリシーのコンポーネントにより適用します。サービスが無効な場合、設定は適用されず、アプリケーションとコンポーネントはグループ ポリシーによって管理されません。サービスが無効な場合、グループ ポリシーのコンポーネントに依存しているコンポーネントやアプリケーションはいずれも正しく機能しない可能性があります。"
"GraphicsPerfSvc","Disabled","LocalSystem","Graphics performance monitor service"
"Human Interface Device Service","Manual","LocalSystem","キーボード、リモコン、およびその他のマルチメディア デバイスに搭載されているホット ボタンの使用を有効にして維持します。このサービスは実行しておくことをお勧めします。"
"HV ホスト サービス","Manual","LocalSystem","ホスト オペレーティング システムにパーティションごとのパフォーマンス カウンターを提供するための Hyper-V ハイパーバイザーのインターフェイスを提供します。"
"i-FILTER Reporter Ver.10","Auto","LocalSystem","ログアナライザ"
"i-FILTER Ver.10","Auto","LocalSystem","ウェブページをフィルタリングします。"
"IIS 管理サービス","Auto","localSystem","このサーバーを IIS メタベースの管理に対して有効にします。IIS メタベースは、SMTP サービスおよび FTP サービスの構成を保存します。このサービスが停止すると、サーバーは SMTP または FTP を構成できなくなります。このサービスを無効にすると、このサービスに明示的に依存するすべてのサービスが開始できなくなります。"
"IKE and AuthIP IPsec Keying Modules","Auto","LocalSystem","IKEEXT サービスは、インターネット キー交換 (IKE) および認証済みインターネット プロトコル (AuthIP) のキー モジュールをホストします。これらのキー モジュールは、IP セキュリティ (IPsec) で認証とキー交換のために使用されます。IKEEXT サービスを停止または無効にすると、ピア コンピューターとの IKE および AuthIP キー交換を実行できなくなります。一般に IPsec は IKE または AuthIP を使用するように構成されているため、IKEEXT サービスを停止または無効にすると、IPsec が正常に機能しなくなり、システムのセキュリティが損なわれます。IKEEXT サービスを実行することを強くお勧めします。"
"Microsoft Store インストール サービス","Manual","LocalSystem","Microsoft Store のインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始されます。無効にすると、インストールは正しく動作しなくなります。"
"IP Helper","Auto","LocalSystem","接続プラットフォームを使用した IPv6 移行テクノロジ (6to4、ISATAP、ポート プロキシおよび Teredo)、および IP-HTTPS を提供します。このサービスが停止すると、コンピューターではこれらのテクノロジが提供する強化された接続の利点が得られなくなります。"
"Intersite Messaging","Auto","LocalSystem","Windows Server サイトが実行されているコンピューター間でメッセージを交換できます。このサービスが停止されている場合は、メッセージは交換されません。また、別のサービスのためのサイト ルーティング情報の計算もされません。このサービスが無効な場合は、明示的にこれに依存しているサービスを開始できません。"
"Kerberos Key Distribution Center","Auto","LocalSystem","ドメイン コントローラー上で実行しているこのサービスによって、ユーザーは、Kerberos 認証プロトコルを使用してネットワークにログオンできます。このサービスが停止されている場合は、ユーザーはネットワークへログオンできません。このサービスが無効な場合は、明示的にこれに依存しているサービスを開始できません。"
"Microsoft Key Distribution Service","Manual","LocalSystem","このサービスを使用して、Group Data Protection API によりデータを保護します。また、クラスター化ボリュームの BitLocker、管理されたサービス アカウント、セキュア DNS などの多くのシステム機能もサポートします。このサービスを停止すると、これらの機能も使用できなくなります。"
"CNG Key Isolation","Manual","LocalSystem","CNG キー分離サービスは、LSA プロセスでホストされています。このサービスは、Common Criteria による要求に従って秘密キーおよび関連の暗号化操作に対してキー プロセス分離を提供します。このサービスは、寿命の長いキーを Common Criteria の要件に準拠した安全なプロセスに格納して使用します。"
"KDC Proxy Server service (KPS)","Manual","NT AUTHORITY\NetworkService","KDC プロキシ サーバー サービスはエッジ サーバーで実行されて、企業ネットワーク上のドメイン コントローラーへの Kerberos プロトコル メッセージを代理受信します。"
"KtmRm for Distributed Transaction Coordinator","Manual","NT AUTHORITY\NetworkService","分散トランザクション コーディネーター (MSDTC) とカーネル トランザクション マネージャー (KTM) 間のトランザクションを調整します。不要の場合は、このサービスを停止したままの状態にしておくことをお勧めします。必要な場合は、MSDTC と KTM の両方で、このサービスは自動的に開始されます。このサービスが無効になっている場合、カーネル リソース マネージャーと対話している MSDTC トランザクションは失敗し、このトランザクションに明示的に依存しているすべてのサービスが開始できません。"
"Server","Auto","LocalSystem","このコンピューターでネットワークをとおしてのファイル、印刷、および名前付パイプ共有をサポートします。このサービスが停止した場合、これらの機能は利用できなくなります。このサービスが使用不可にされた場合、このサービスに明示的に依存するサービスはすべて起動できなくなります。"
"Workstation","Auto","NT AUTHORITY\NetworkService","SMB プロトコルを使ってリモート サーバーへのクライアント ネットワーク接続を作成し、維持します。このサービスが停止している場合は、これらの接続は利用できなくなります。このサービスが無効になっている場合は、このサービスに明示的に依存するサービスは何も開始できなくなります。"
"Geolocation Service","Disabled","LocalSystem","このサービスは、システムの現在の位置を監視し、ジオフェンス (イベントが関連付けられた地理的位置) を管理します。このサービスを無効にすると、アプリケーションでジオフェンスの通知を利用したり受信したりすることができなくなります。"
"Windows ライセンス マネージャー サービス","Manual","NT Authority\LocalService","Microsoft Store のインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始されます。無効にすると、Microsoft Store を通じて取得されるコンテンツは正しく動作しなくなります。"
"Link-Layer Topology Discovery Mapper","Disabled","NT AUTHORITY\LocalService","PC とデバイスの図 (接続) 情報、および各 PC とデバイスを記述するメタデータから成るネットワーク マップを作成します。サービスを無効にすると、ネットワーク マップは正しく作動しません。"
"TCP/IP NetBIOS Helper","Manual","NT AUTHORITY\LocalService","ネットワーク上のクライアントに対して、NetBIOS over TCP/IP (NetBT) サービスと NetBIOS 名前解決のサポートを提供することで、ユーザーがファイル共有、印刷、およびネットワークへのログオンをできるようにします。このサービスが停止された場合は、これらの機能を使用できなくなる可能性があります。このサービスが無効になっている場合は、このサービスに明示的に依存しているすべてのサービスは開始できなくなります。"
"LSAService","Auto","LocalSystem","LSI Storage Authority Service"
"Local Session Manager","Auto","LocalSystem","ローカル ユーザー セッションを管理するコア Windows サービスです。このサービスを停止したり無効にしたりすると、システムが不安定になります。"
"Downloaded Maps Manager","Disabled","NT AUTHORITY\NetworkService","ダウンロード済みの地図へのアプリケーション アクセスを提供する Windows サービスです。このサービスは、ダウンロード済みの地図にアクセスするアプリケーションによってオンデマンドで開始されます。このサービスを無効にすると、アプリケーションから地図にアクセスできなくなります。"
"McpManagementService","Manual","LocalSystem","Universal Print Management Service"
"Microsoft Defender Core Service","Auto","LocalSystem","さまざまなセキュリティ コンポーネントの可用性、正常性、パフォーマンスを監視します"
"Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Manual","LocalSystem","Microsoft Edge に対して昇格された特権を付与します。"
"Windows Defender Firewall","Auto","NT Authority\LocalService","Windows Defender ファイアウォールは、承認されていないユーザーによるインターネットまたはネットワーク経由のアクセスを阻止することにより、コンピューターの保護に役立ちます。"
"Distributed Transaction Coordinator","Auto","NT AUTHORITY\NetworkService","データベース、メッセージ キュー、またはファイル システムなど、複数のリソース マネージャーに分散されたトランザクションを調整します。このサービスが停止すると、これらのトランザクションは開始できません。このサービスが無効な場合は、このサービスに依存するサービスは開始できません。"
"Microsoft iSCSI Initiator Service","Manual","LocalSystem","このコンピューターからリモート iSCSI ターゲット デバイスへのインターネット SCSI (iSCSI) セッションを管理します。このサービスが中止された場合、このコンピューターは ISCSI ターゲットにログインまたはアクセスできなくなります。このサービスが無効にされている場合、明示的にそれに依存しているすべてのサービスの開始が失敗します。"
"Windows Installer","Manual","LocalSystem","Windows インストーラー (*.msi、*.msp) パッケージとして提供されたアプリケーションを追加、修正、および削除します。このサービスが使用不可になっている場合、このサービスに明示的に依存しているサービスの開始は失敗します。"
"メッセージ キュー","Auto","NT Authority\NetworkService","Windows ベースのネットワークとプログラム用の分散メッセージング アプリケーションを作成するためのメッセージング インフラストラクチャと開発ツールを提供します。このサービスが停止された場合は、分散メッセージは利用できなくなります。このサービスが無効になった場合は、このサービスに明示的に依存しているサービスはすべて開始できなくなります。"
"SQL Server (NEBULA2010DB)","Auto","LocalSystem","ストレージ、データの処理と制御されたアクセス、および高速なトランザクション処理を提供します。"
"SQL Server (OFCSCAN)","Auto","NT Service\MSSQL$OFCSCAN","ストレージ、データの処理と制御されたアクセス、および高速なトランザクション処理を提供します。"
"MySQL","Auto","LocalSystem",
"Network Connectivity Assistant","Manual","LocalSystem","UI コンポーネントに DirectAccess の状態通知を提供します"
"Network Connection Broker","Manual","LocalSystem","Windows ストア アプリがインターネットから通知を受信できるようにするブローカー接続。"
"Netlogon","Auto","LocalSystem","ユーザーとサービスを認証するため、このコンピューターとドメイン コントローラー間でセキュリティで保護されたチャネルを管理します。このサービスが停止した場合、コンピューターはユーザーとサービスを認証できなくなる可能性があり、ドメイン コントローラーは DNS レコードを登録できません。このサービスが無効になった場合、このサービスに明示的に依存するサービスはすべて起動しなくなります。"
"Network Connections","Manual","LocalSystem","ネットワークとダイヤルアップ接続フォルダーにあるオブジェクトを管理します。ローカル エリア ネットワークとリモート接続の両方がフォルダーで表示されます。"
"Network List Service","Manual","NT AUTHORITY\LocalService","コンピューターが接続しているネットワークの識別、ネットワークのプロパティの収集と保存、プロパティが変更されたときのアプリケーションへの通知を行います。"
"Network Setup Service","Manual","LocalSystem","Network Setup Service は、ネットワーク ドライバーのインストールを管理し、低レベルのネットワーク設定の構成を許可します。このサービスが停止すると、処理中のドライバー インストールがすべて取り消される場合があります。"
"Net.Tcp Port Sharing Service","Disabled","NT AUTHORITY\LocalService","net.tcp プロトコル経由で TCP ポートを共有する機能を提供します。"
"Microsoft Passport Container","Manual","NT AUTHORITY\LocalService","ID プロバイダーおよび TPM 仮想スマート カードに対してユーザーを認証するために使用されるローカル ユーザー ID キーを管理します。このサービスを無効にすると、ローカル ユーザー ID キーと TPM 仮想スマート カードにアクセスできなくなります。このサービスを再構成しないことをお勧めします。"
"Microsoft Passport","Manual","LocalSystem","ユーザーに関連付けられた ID プロバイダーへの認証に使用される暗号化キーの処理を分離します。このサービスを無効にすると、これらのキーを使用したり管理したりすることは一切できなくなります。これには、コンピューターへのログオンと、アプリや Web サイトへのシングル サインオンも含まれます。このサービスは自動的に開始および停止されます。このサービスは再構成しないことをお勧めします。"
"NginxService","Auto","LocalSystem","Nginx Service"
"Network Location Awareness","Auto","NT AUTHORITY\NetworkService","ネットワークの構成情報を収集および保存して、この情報が変更されたときにプログラムに通知します。このサービスが停止された場合は、構成情報を使用できなくなる可能性があります。このサービスが無効になっている場合は、このサービスに明示的に依存しているすべてのサービスは開始できなくなります。"
"Network Store Interface Service","Auto","NT Authority\LocalService","このサービスは、ネットワーク通知 (インターフェイスの追加や削除など) をユーザー モード クライアントに配信します。このサービスを停止すると、ネットワーク接続が失われます。このサービスが無効になっている場合は、このサービスに明示的に依存している他のすべてのサービスは開始できなくなります。"
"Active Directory Domain Services","Auto","LocalSystem","AD DS ドメイン コントローラー サービス。このサービスが停止されている場合は、ユーザーは、ネットワークへログオンできません。このサービスが無効な場合は、明示的にこれに依存しているサービスを開始できません。"
"File Replication","Disabled","LocalSystem","フォルダーを、新しい DFS レプリケーション テクノロジではなくファイル レプリケーション サービス (FRS) を使用するファイル サーバーと同期します。"
"Apex One NT RealTime Scan","Auto","LocalSystem","Trend Micro Apex Oneセキュリティエージェントでリアルタイム検索、予約検索、および手動検索を実行します。"
"Apex One Plug-in Manager","Auto","LocalSystem","プラグインマネージャをインストールして、プラグインプログラムを管理します。"
"Apex One Deep Discovery Service","Manual","LocalSystem","不審オブジェクトのサンプルを内部で転送し、Deep Discovery Analyzerに送信します。"
"Apex One Log Receiver Service","Manual","LocalSystem","Apex Oneサーバおよびエージェントからログ情報を受け取ります。"
"Apex One Master Service","Auto","LocalSystem","Apex Oneセキュリティエージェント、Webコンソール、およびApex Centralからのコマンドとリクエストを受け付けて応答します。"
"Apex One Apex Central Agent","Manual","LocalSystem","管理者がApex CentralコンソールからApex Oneを管理することができます。"
"Apex One Active Directory Integration Service","Manual","NT AUTHORITY\NetworkService","Apex One Master ServiceにActive Directoryのサポートを提供します。"
"Program Compatibility Assistant Service","Auto","LocalSystem","このサービスは、プログラム互換性アシスタント (PCA) のサポートを提供します。PCA は、インストールされてユーザーによって実行されるプログラムを監視し、既知の互換性の問題を検出します。このサービスが停止すると、PCA は正しく機能しません。"
"Performance Counter DLL Host","Manual","NT AUTHORITY\LocalService","リモート ユーザーおよび 64 ビット プロセスから、32 ビット DLL が提供するパフォーマンス カウンターを照会できるようにします。このサービスが停止している場合、ローカル ユーザーと 32 ビット プロセスだけが 32 ビット DLLが提供するパフォーマンス カウンターを照会できます。"
"Performance Logs & Alerts","Manual","NT AUTHORITY\LocalService","Performance Logs and Alerts は、あらかじめ構成されているスケジュール パラメーターに基づいて、ローカルまたはリモート コンピューターからパフォーマンス データを収集し、ログに書き込んだり、警告したりします。このサービスが止めてあると、パフォーマンス情報は集められません。このサービスが無効な場合は、明示的にこれに依存しているサービスを開始できません。"
"Plug and Play","Manual","LocalSystem","ユーザーからの最小限の入力、または入力なしで、コンピューターがハードウェアの変更を認識し、対応します。"
