"DisplayName","StartMode","StartName","Description"
"Background Intelligent Transfer Service","Auto","LocalSystem","アイドル状態のネットワーク帯域幅を使ってバックグラウンドでファイルを転送します。サービスを使用不可にすると、Windows Update や MSN Explorer など、BITS に依存しているアプリケーションはプログラムや情報を自動的にダウンロードできなくなります。"
"Background Tasks Infrastructure Service","Auto","LocalSystem","システム上で実行可能なバックグラウンド タスクを制御する Windows インフラストラクチャ サービス。"
"Bluetooth オーディオ ゲートウェイ サービス","Manual","NT AUTHORITY\LocalService","Bluetooth ハンズフリー プロファイルのオーディオ ゲートウェイの役割をサポートするサービスです。"
"AVCTP サービス","Manual","NT AUTHORITY\LocalService","オーディオ/ビデオ制御トランスポート プロトコル サービスです"
"Bluetooth サポート サービス","Manual","NT AUTHORITY\LocalService","Bluetooth サービスは、リモートの Bluetooth デバイスの検出と関連付けをサポートします。このサービスを停止または無効にすると、インストール済み Bluetooth デバイスが正常に動作しなくなり、新しいデバイスの検出や関連付けができなくなる可能性があります。"
"Syunkai Client","Auto","LocalSystem","Syunkai Client"
"Syunkai Monitoring Service","Auto","LocalSystem","Syunkai Monitoring Service"
"Syunkai Service Watch Service","Auto","LocalSystem","Syunkai Service Watch Service"
"機能アクセス マネージャー サービス","Auto","LocalSystem","アプリ機能への UWP アプリのアクセスを管理し、特定のアプリ機能へのアプリのアクセス権をチェックするサービスです"
"Connected Devices Platform Service","Auto","NT AUTHORITY\LocalService","このサービスは、Connected Devices Platform のシナリオに使用されます"
"Certificate Propagation","Manual","LocalSystem","ユーザー証明書とルート証明書をスマート カードから現在のユーザーの証明書ストアにコピーし、スマート カードがスマート カード リーダーに挿入されたときに検出します。また、必要に応じてスマート カード プラグ アンド プレイ ミニドライバーをインストールします。"
"Microsoft Office Click-to-Run Service","Auto","LocalSystem","?リソースの調整、バックグラウンド ストリーミング、Microsoft 365および Office 製品のシステム統合、および関連する更新プログラムを管理します。このサービスは、Microsoft 365プログラムおよび Office プログラムの使用中、最初のストリーミング インストールおよびそれ以降のすべての更新プログラムの実行中に実行する必要があります。?"
"Client License Service (ClipSVC)","Manual","LocalSystem","Microsoft Store のためのインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始され、無効にすると、Microsoft Store を使用して購入したアプリケーションが正しく動作しなくなります。"
"Microsoft Cloud ID サービス","Manual","NT AUTHORITY\NetworkService","Microsoft クラウド ID サービスとの統合をサポートします。無効にすると、テナント制限が適切に適用されません。"
"COM+ System Application","Manual","LocalSystem","コンポーネント オブジェクト モデル (COM)+ ベース コンポーネントの構成と追跡を管理します。サービスが停止すると、COM+ ベース コンポーネントは正しく機能しません。サービスが無効になると、このサービスに依存するサービスは開始できなくなります。"
"CoreMessaging","Auto","NT AUTHORITY\LocalService","Manages communication between system components."
"Intel(R) Content Protection HDCP Service","Auto","LocalSystem","Intel(R) Content Protection HDCP Service - enables communication with Content Protection HDCP HW"
"Cryptographic Services","Auto","NT Authority\NetworkService","提供される管理サービスは、次の 3 つです。カタログ データベース サービス: Windows ファイルの署名を確認し、新しいプログラムをインストールできるようにします。保護ルート サービス: 信頼されたルート証明機関の証明書をこのコンピューターに追加および削除します。ルート証明書自動更新サービス: Windows Update からルート証明書を取得し、SSL のようなシナリオを有効にします。このサービスが停止している場合は、これらの管理サービスは正常に機能しません。このサービスが無効の場合は、明示的にこれに依存しているサービスは開始できません。"
"Offline Files","Manual","LocalSystem","オフライン ファイル サービスは、オフライン ファイル キャッシュのメンテナンス活動の実行、ユーザーのログオンおよびログオフ イベントへの応答、パブリック API の内部の実装、およびオフライン ファイル活動やキャッシュ状態の変化に興味を持つユーザーに対する興味深いイベントのディスパッチを行います。"
"DCOM Server Process Launcher","Auto","LocalSystem","DCOMLAUNCH サービスは、オブジェクト アクティブ化要求に応答して、COM および DCOM サーバーを起動します。このサービスが停止しているか無効になっている場合、COM または DCOM を使用するプログラムは正常に機能しません。DCOMLAUNCH サービスを実行しておくことを推奨します。"
"Syunkai-Remote Client Base Module","Auto","LocalSystem","Systemwalker Desktop Restore"
"宣言済み構成 (DC) サービス","Manual","LocalSystem","MDM やその他のチャネルで受け取った宣言済み構成ドキュメントを処理し、デバイスで構成を実行します"
"Optimize drives","Manual","localSystem","記憶域ドライブのファイルを最適化すると、コンピューターがより効率的に動作します。"
"Device Association Service","Manual","LocalSystem","システムとワイヤード (有線) またはワイヤレス デバイスの間のペアリングを有効にします。"
"Device Install Service","Manual","LocalSystem","ユーザーからの最小限の入力、または入力なしで、コンピューターがハードウェアの変更を認識し、対応します。"
"DevQuery Background Discovery Broker","Manual","LocalSystem","アプリによるバックグラウンド タスクを使用したデバイス検出を可能にします"
"DHCP Client","Auto","NT Authority\LocalService","このコンピューターの IP アドレスと DNS レコードを登録および更新します。このサービスが停止している場合、このコンピューターは動的 IP アドレスと DNS 更新情報を受信できなくなります。このサービスが無効になっている場合、このサービスに明示的に依存するサービスはすべて起動しなくなります。"
"Diagnostic Execution Service","Manual","LocalSystem","Executes diagnostic actions for troubleshooting support"
"Connected User Experiences and Telemetry","Auto","LocalSystem","Connected User Experiences and Telemetry サービスを使用すると、アプリケーション内エクスペリエンスと接続ユーザーのエクスペリエンスをサポートする機能が有効になります。また、[フィードバックと診断] で診断と使用状況に関するプライバシー オプション設定が有効になっている場合、このサービスは、イベント ドリブン方式による診断情報および使用状況情報の収集と送信も管理します (これらの情報は、Windows プラットフォームのエクスペリエンスと品質を向上するために使用されます)。"
"DialogBlockingService","Disabled","LocalSystem","ダイアログをブロックするサービス"
"ポリシー サービスの表示","Auto","NT AUTHORITY\LocalService","ローカルおよびリモート ディスプレイの接続と構成を管理します"
"ディスプレイ拡張サービス","Manual","LocalSystem","輝度制御などのディスプレイ拡張を管理するためのサービス。"
"デバイス管理登録サービス","Manual","LocalSystem","デバイス管理へのデバイス登録アクティビティを行います"
"デバイス管理ワイヤレス アプリケーション プロトコル (WAP) プッシュ メッセージ ルーティング サービス","Manual","LocalSystem","デバイスが受信したワイヤレス アプリケーション プロトコル (WAP) プッシュ メッセージをルーティングし、デバイス管理セッションを同期します。"
"DNS Client","Auto","NT AUTHORITY\NetworkService","DNS クライアント サービス (dnscache) は、ドメイン ネーム システム (DNS) クエリを送信し、クエリ結果をキャッシュし、コンピューターのフル ネームをネットワークに登録します。このサービスは停止できません。"
"Delivery Optimization","Auto","NT Authority\NetworkService","コンテンツ配信の最適化タスクを実行します"
"Wired AutoConfig","Manual","localSystem","Wired AutoConfig (DOT3SVC) サービスは、イーサネット インターフェイスに対して IEEE 802.1X 認証を実行します。現在のワイヤード ネットワーク展開が 802.1X 認証を強制する場合、DOT3SVC サービスは、レイヤー 2 接続の確立とネットワーク リソースへのアクセスの提供を行うように構成されています。802.1X 認証を強制しないワイヤード ネットワークには、DOT3SVC サービスによる影響はありません。"
"Diagnostic Policy Service","Auto","NT AUTHORITY\LocalService","診断ポリシー サービスを使用すると、Windows コンポーネントの問題を検出、トラブルシューティング、および解決できます。このサービスを停止すると、診断は実行されません。"
"Intel(R) Dynamic Tuning Technology Telemetry Service","Auto","NT Authority\LocalService","Intel(R) Dynamic Tuning Technology Telemetry Service"
"Device Setup Manager","Manual","LocalSystem","デバイスに関連するソフトウェアの検出、ダウンロード、およびインストールを有効にします。このサービスが無効になっている場合、デバイスが古いソフトウェアで構成され、正常に動作しない可能性があります。"
"Data Sharing Service","Manual","LocalSystem","アプリケーション間でデータのやり取りを処理します。"
"データ使用状況","Auto","NT Authority\LocalService","ネットワーク データ使用状況、データ通信量の上限、バックグラウンド データの制限、従量制課金ネットワーク。"
"Extensible Authentication Protocol","Manual","localSystem","拡張認証プロトコル (EAP) サービスは 802.1x ワイヤードおよびワイヤレス、VPN、ネットワーク アクセス保護 (NAP) のようなシナリオでネットワーク認証を提供します。EAP は、認証プロセス中にワイヤレスおよび VPN クライアントなどのネットワーク アクセス クライアントで使用されるアプリケーション プログラミング インターフェイス (API) も提供します。このサービスを無効にすると、このコンピューターは EAP 認証を必要とするネットワークにアクセスできません。"
"Microsoft Edge Update Service (edgeupdate)","Auto","LocalSystem","Microsoft ソフトウェアを最新の状態に維持してください。このサービスが無効または停止されている場合、Microsoft ソフトウェアは最新の状態に維持されません。この場合、セキュリティの脆弱性が発生する可能性があり、こうした脆弱性は解決することができません。また、機能が動作しなくなる場合もあります。このサービスでは、サービスを使用している Microsoft ソフトウェアがない場合は、サービス自体がアンインストールされます。"
"Microsoft Edge Update Service (edgeupdatem)","Manual","LocalSystem","Microsoft ソフトウェアを最新の状態に維持してください。このサービスが無効または停止されている場合、Microsoft ソフトウェアは最新の状態に維持されません。この場合、セキュリティの脆弱性が発生する可能性があり、こうした脆弱性は解決することができません。また、機能が動作しなくなる場合もあります。このサービスでは、サービスを使用している Microsoft ソフトウェアがない場合は、サービス自体がアンインストールされます。"
"Encrypting File System (EFS)","Manual","LocalSystem","暗号化されたファイルを NTFS ファイル システム ボリュームに格納するために使用されるファイル暗号化のコア テクノロジを提供します。このサービスが停止されている場合や無効な場合は、アプリケーションから暗号化されたファイルにアクセスできません。"
"埋め込みモード","Manual","LocalSystem","埋め込みモード サービスでは、バックグラウンド アプリケーションに関連するシナリオを使用できます。このサービスを無効にすると、バックグラウンド アプリケーションがアクティブになりません。"
"Enterprise App Management Service","Manual","LocalSystem","エンタープライズ アプリケーション管理機能を有効にします。"
"Epson Scanner Service","Auto","LocalSystem",
"Windows Event Log","Auto","NT AUTHORITY\LocalService","このサービスでは、イベントとイベント ログを管理します。イベントのログ、イベントの照会、イベントの受信登録、イベント ログのアーカイブ、およびイベント メタデータの管理をサポートしています。イベントは XML 形式およびテキスト形式で表示できます。このサービスを停止すると、システムのセキュリティと信頼性に危害が加えられる可能性があります。"
"COM+ Event System","Auto","NT AUTHORITY\LocalService","サポート システム イベント通知サービス (SENS) は、イベント通知先として登録された COM コンポーネントにイベントを自動的に通知します。サービスが停止すると、SENS は終了し、ログオンやログオフを通知できなくなります。このサービスが無効な場合、このサービスに依存するサービスは開始できません。"
"Function Discovery Provider Host","Manual","NT AUTHORITY\LocalService","FDPHOST サービスは、機能探索 (FD) ネットワーク探索プロバイダーをホストします。これらの FD プロバイダーは、SSDP (Simple Services Discovery Protocol) および WS-D (Web Services ? Discovery) プロトコルにネットワーク探索サービスを提供します。FDPHOST サービスを停止または無効にすると、FD を使用する場合にこれらのプロトコルでネットワーク探索が機能しなくなります。このサービスを利用できない場合、FD を使用し、SSDP および WS-D の探索プロトコルに依存するネットワーク サービスは、ネットワーク デバイスやリソースを発見できなくなります。"
"Function Discovery Resource Publication","Manual","NT AUTHORITY\LocalService","このコンピューターおよびこのコンピューターに接続されているリソースを公開して、ネットワーク上で検出できるようにします。このサービスを停止するとネットワーク リソースは公開されなくなり、ネットワーク上の他のコンピューターがこれらのリソースを検出されなくなります。"
"File History Service","Manual","LocalSystem","ユーザー ファイルをバックアップ場所にコピーして不慮の損失から保護します"
"FileSyncHelper","Manual","LocalSystem","Helper service for OneDrive"
"Windows Font Cache Service","Auto","NT AUTHORITY\LocalService","共通で使用されるフォント データをキャッシュすることによって、アプリケーションのパフォーマンスを最適化します。このサービスがまだ実行されていない場合は、アプリケーションによって起動されます。このサービスは無効にできますが、無効にすると、アプリケーションのパフォーマンスが低下します。"
"Windows カメラ フレーム サーバー","Manual","NT AUTHORITY\LocalService","複数のクライアントがカメラ デバイスからビデオ フレームにアクセスできるようにします。"
"Windows カメラ フレーム サーバー モニター","Manual","LocalSystem","Windows カメラフレームサーバーサービスの正常性と状態を監視します。"
"GameInput Service","Manual","LocalSystem","Enables keyboards, mice, gamepads, and other input devices to be used with the GameInput API."
"Google Chrome Elevation Service (GoogleChromeElevationService)","Manual","LocalSystem","暗号化サービスと、Google Chrome が最新の状態でなくなった場合に安全に復元する方法を提供します。このサービスを無効にすると、 は暗号化されたデータにアクセスできなくなり、 が自動で復元できなくなる可能性があります。"
"Google Updater 内部サービス (GoogleUpdaterInternalService148.0.7730.0)","Auto","LocalSystem","Google ソフトウェアを最新の状態に保ちます。このサービスを無効にしたり停止したりすると、Google ソフトウェアが最新の状態に保たれなくなります。その結果、セキュリティ上の脆弱性が見つかっても修正できず、機能が動作しなくなる可能性があります。このサービスを使用する Google ソフトウェアがなくなると、このサービスは自動的にアンインストールされます。"
"Google Updater サービス (GoogleUpdaterService148.0.7730.0)","Auto","LocalSystem","Google ソフトウェアを最新の状態に保ちます。このサービスを無効にしたり停止したりすると、Google ソフトウェアが最新の状態に保たれなくなります。その結果、セキュリティ上の脆弱性が見つかっても修正できず、機能が動作しなくなる可能性があります。このサービスを使用する Google ソフトウェアがなくなると、このサービスは自動的にアンインストールされます。"
"Group Policy Client","Auto","LocalSystem","管理者が構成したコンピューターやユーザーの設定をグループ ポリシーのコンポーネントにより適用します。サービスが無効な場合、設定は適用されず、アプリケーションとコンポーネントはグループ ポリシーによって管理されません。サービスが無効な場合、グループ ポリシーのコンポーネントに依存しているコンポーネントやアプリケーションはいずれも正しく機能しない可能性があります。"
"GraphicsPerfSvc","Manual","LocalSystem","Graphics performance monitor service"
"Human Interface Device Service","Manual","LocalSystem","キーボード、リモコン、およびその他のマルチメディア デバイスに搭載されているホット ボタンの使用を有効にして維持します。このサービスは実行しておくことをお勧めします。"
"Hotpatch Monitoring Service","Manual","LocalSystem","Monitors Hotpatch ETW Trace providers and reports failures."
"HV ホスト サービス","Manual","LocalSystem","ホスト オペレーティング システムにパーティションごとのパフォーマンス カウンターを提供するための Hyper-V ハイパーバイザーのインターフェイスを提供します。"
"Windows モバイル ホットスポット サービス","Manual","NT Authority\LocalService","携帯データ接続を別のデバイスと共有する機能を提供します。"
"IKE and AuthIP IPsec Keying Modules","Auto","LocalSystem","IKEEXT サービスは、インターネット キー交換 (IKE) および認証済みインターネット プロトコル (AuthIP) のキー モジュールをホストします。これらのキー モジュールは、IP セキュリティ (IPsec) で認証とキー交換のために使用されます。IKEEXT サービスを停止または無効にすると、ピア コンピューターとの IKE および AuthIP キー交換を実行できなくなります。一般に IPsec は IKE または AuthIP を使用するように構成されているため、IKEEXT サービスを停止または無効にすると、IPsec が正常に機能しなくなり、システムのセキュリティが損なわれます。IKEEXT サービスを実行することを強くお勧めします。"
"Microsoft Store インストール サービス","Manual","LocalSystem","Microsoft Store のインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始されます。無効にすると、インストールは正しく動作しなくなります。"
"Intel(R) Audio Service","Auto","LocalSystem",
"IntelR Graphics Software","Auto","LocalSystem","IntelR Graphics Software"
"インベントリと互換性の評価サービス","Auto","LocalSystem","このサービスは、多数のシステム コンポーネントで使用されるバックグラウンド システムのインベントリ、互換性の評価、メンテナンスを実行します。"
"Intel(R) Innovation Platform Framework Service","Auto","LocalSystem","Intel(R) Innovation Platform Framework Service"
"IP Helper","Auto","LocalSystem","接続プラットフォームを使用した IPv6 移行テクノロジ (6to4、ISATAP、ポート プロキシおよび Teredo)、および IP-HTTPS を提供します。このサービスが停止すると、コンピューターではこれらのテクノロジが提供する強化された接続の利点が得られなくなります。"
"IP 変換構成サービス","Manual","LocalSystem","v4 と v6 の間の変換を構成して有効にします"
"Intel(R) Dynamic Application Loader Host Interface Service","Auto","LocalSystem","Intel(R) Dynamic Application Loader Host Interface Service - Allows applications to access the local Intel (R) DAL"
"CNG Key Isolation","Manual","LocalSystem","CNG キー分離サービスは、LSA プロセスでホストされています。このサービスは、Common Criteria による要求に従って秘密キーおよび関連の暗号化操作に対してキー プロセス分離を提供します。このサービスは、寿命の長いキーを Common Criteria の要件に準拠した安全なプロセスに格納して使用します。"
"KtmRm for Distributed Transaction Coordinator","Manual","NT AUTHORITY\NetworkService","分散トランザクション コーディネーター (MSDTC) とカーネル トランザクション マネージャー (KTM) 間のトランザクションを調整します。不要の場合は、このサービスを停止したままの状態にしておくことをお勧めします。必要な場合は、MSDTC と KTM の両方で、このサービスは自動的に開始されます。このサービスが無効になっている場合、カーネル リソース マネージャーと対話している MSDTC トランザクションは失敗し、このトランザクションに明示的に依存しているすべてのサービスが開始できません。"
"Server","Auto","LocalSystem","このコンピューターでネットワークをとおしてのファイル、印刷、および名前付パイプ共有をサポートします。このサービスが停止した場合、これらの機能は利用できなくなります。このサービスが使用不可にされた場合、このサービスに明示的に依存するサービスはすべて起動できなくなります。"
"Workstation","Auto","NT AUTHORITY\NetworkService","SMB プロトコルを使ってリモート サーバーへのクライアント ネットワーク接続を作成し、維持します。このサービスが停止している場合は、これらの接続は利用できなくなります。このサービスが無効になっている場合は、このサービスに明示的に依存するサービスは何も開始できなくなります。"
"Geolocation Service","Manual","LocalSystem","このサービスは、システムの現在の位置を監視し、ジオフェンス (イベントが関連付けられた地理的位置) を管理します。このサービスを無効にすると、アプリケーションでジオフェンスの通知を利用したり受信したりすることができなくなります。"
"Windows ライセンス マネージャー サービス","Manual","NT Authority\LocalService","Microsoft Store のインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始されます。無効にすると、Microsoft Store を通じて取得されるコンテンツは正しく動作しなくなります。"
"Link-Layer Topology Discovery Mapper","Manual","NT AUTHORITY\LocalService","PC とデバイスの図 (接続) 情報、および各 PC とデバイスを記述するメタデータから成るネットワーク マップを作成します。サービスを無効にすると、ネットワーク マップは正しく作動しません。"
"TCP/IP NetBIOS Helper","Manual","NT AUTHORITY\LocalService","ネットワーク上のクライアントに対して、NetBIOS over TCP/IP (NetBT) サービスと NetBIOS 名前解決のサポートを提供することで、ユーザーがファイル共有、印刷、およびネットワークへのログオンをできるようにします。このサービスが停止された場合は、これらの機能を使用できなくなる可能性があります。このサービスが無効になっている場合は、このサービスに明示的に依存しているすべてのサービスは開始できなくなります。"
"Kerberos ローカル キー配布センター","Manual","LocalSystem","このサービスを使用すると、ユーザーは Kerberos 認証プロトコルを使用してローカル コンピューターにログオンできます。このサービスが停止すると、ユーザーはローカル コンピューターにログオンできなくなります。このサービスを無効にすると、このサービスに明示的に依存しているサービスは開始できなくなります。"
"Local Session Manager","Auto","LocalSystem","ローカル ユーザー セッションを管理するコア Windows サービスです。このサービスを停止したり無効にしたりすると、システムが不安定になります。"
"言語エクスペリエンス サービス","Manual","LocalSystem","ローカライズされた Windows リソースを展開および構成するためのインフラストラクチャ サポートを提供します。このサービスはオンデマンドで開始され、無効にすると、追加の Windows 言語はシステムに展開されず、Windows が正しく機能しない可能性があります。"
"Downloaded Maps Manager","Auto","NT AUTHORITY\NetworkService","ダウンロード済みの地図へのアプリケーション アクセスを提供する Windows サービスです。このサービスは、ダウンロード済みの地図にアクセスするアプリケーションによってオンデマンドで開始されます。このサービスを無効にすると、アプリケーションから地図にアクセスできなくなります。"
"モバイル接続管理サービス","Manual","NT SERVICE\McmSvc","このサービスは、モバイル接続モジュールのプロファイル管理を提供します"
"McpManagementService","Manual","LocalSystem","ユニバーサル印刷管理サービス"
"Microsoft Defender Core Service","Manual","LocalSystem","さまざまなセキュリティ コンポーネントの可用性、正常性、パフォーマンスを監視します"
"Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Manual","LocalSystem","Microsoft Edge に対して昇格された特権を付与します。"
"Windows MIDI サービス","Manual","NT AUTHORITY\LocalService","MIDI 1.0 および MIDI 2.0 メッセージ ルーティングとデバイス列挙の Windows MIDI サービス コア サービス"
"Windows Defender Firewall","Auto","NT Authority\LocalService","Windows Defender ファイアウォールは、承認されていないユーザーによるインターネットまたはネットワーク経由のアクセスを阻止することにより、コンピューターの保護に役立ちます。"
"Distributed Transaction Coordinator","Manual","NT AUTHORITY\NetworkService","データベース、メッセージ キュー、またはファイル システムなど、複数のリソース マネージャーに分散されたトランザクションを調整します。このサービスが停止すると、これらのトランザクションは開始できません。このサービスが無効な場合は、このサービスに依存するサービスは開始できません。"
"Microsoft iSCSI Initiator Service","Manual","LocalSystem","このコンピューターからリモート iSCSI ターゲット デバイスへのインターネット SCSI (iSCSI) セッションを管理します。このサービスが中止された場合、このコンピューターは ISCSI ターゲットにログインまたはアクセスできなくなります。このサービスが無効にされている場合、明示的にそれに依存しているすべてのサービスの開始が失敗します。"
"Windows Installer","Manual","LocalSystem","Windows インストーラー (*.msi、*.msp) パッケージとして提供されたアプリケーションを追加、修正、および削除します。このサービスが使用不可になっている場合、このサービスに明示的に依存しているサービスの開始は失敗します。"
"Microsoft キーボード フィルター","Disabled","LocalSystem","キーボード操作のフィルター処理とマッピングを制御します"
"自然認証","Manual","LocalSystem","時間、ネットワーク、地理位置情報、Bluetooth、cdf 要素を基にシグナルを評価するシグナル アグリゲーター サービス。サポートされる機能は、デバイスのロック解除、動的ロック、動的 MDM ポリシーです。"
"Network Connectivity Assistant","Manual","LocalSystem","UI コンポーネントに DirectAccess の状態通知を提供します"
"Network Connection Broker","Manual","LocalSystem","パッケージ済み Microsoft Store アプリがインターネットから通知を受信できるようにするブローカー接続。"
"Network Connected Devices Auto-Setup","Manual","NT AUTHORITY\LocalService","ネットワーク接続デバイス自動セットアップ サービスは、対象となるネットワークに接続される対象のデバイスを監視してインストールします。このサービスを停止するか無効にすると、対象となるネットワーク接続デバイスの検出とインストールが自動で行われなくなります。ただし、ユーザー インターフェイスを使用して、ネットワーク接続デバイスを PC に手動で接続できます。"
"Netlogon","Auto","LocalSystem","ユーザーとサービスを認証するため、このコンピューターとドメイン コントローラー間でセキュリティで保護されたチャネルを管理します。このサービスが停止した場合、コンピューターはユーザーとサービスを認証できなくなる可能性があり、ドメイン コントローラーは DNS レコードを登録できません。このサービスが無効になった場合、このサービスに明示的に依存するサービスはすべて起動しなくなります。"
"Network Connections","Manual","LocalSystem","ネットワークとダイヤルアップ接続フォルダーにあるオブジェクトを管理します。ローカル エリア ネットワークとリモート接続の両方がフォルダーで表示されます。"
"Network List Service","Manual","NT AUTHORITY\NetworkService","コンピューターが接続しているネットワークの識別、ネットワークのプロパティの収集と保存、プロパティが変更されたときのアプリケーションへの通知を行います。"
"Network Setup Service","Manual","LocalSystem","Network Setup Service は、ネットワーク ドライバーのインストールを管理し、低レベルのネットワーク設定の構成を許可します。このサービスが停止すると、処理中のドライバー インストールがすべて取り消される場合があります。"
"Net.Tcp Port Sharing Service","Disabled","NT AUTHORITY\LocalService","net.tcp プロトコル経由で TCP ポートを共有する機能を提供します。"
"Microsoft Passport Container","Manual","NT AUTHORITY\LocalService","ID プロバイダーおよび TPM 仮想スマート カードに対してユーザーを認証するために使用されるローカル ユーザー ID キーを管理します。このサービスを無効にすると、ローカル ユーザー ID キーと TPM 仮想スマート カードにアクセスできなくなります。このサービスを再構成しないことをお勧めします。"
"Microsoft Passport","Manual","LocalSystem","ユーザーに関連付けられた ID プロバイダーへの認証に使用される暗号化キーの処理を分離します。このサービスを無効にすると、これらのキーを使用したり管理したりすることは一切できなくなります。これには、コンピューターへのログオンと、アプリや Web サイトへのシングル サインオンも含まれます。このサービスは自動的に開始および停止されます。このサービスは再構成しないことをお勧めします。"
"ネットワークの場所の認識","Manual","NT AUTHORITY\NetworkService","ネットワークの構成情報を収集および保存して、この情報が変更されたときにプログラムに通知します。このサービスが停止された場合は、構成情報を使用できなくなる可能性があります。このサービスが無効になっている場合は、このサービスに明示的に依存しているすべてのサービスは開始できなくなります。"
"Network Store Interface Service","Auto","NT Authority\LocalService","このサービスは、ネットワーク通知 (インターフェイスの追加や削除など) をユーザー モード クライアントに配信します。このサービスを停止すると、ネットワーク接続が失われます。このサービスが無効になっている場合は、このサービスに明示的に依存している他のすべてのサービスは開始できなくなります。"
"Apex One NT RealTime Scan","Auto","LocalSystem","Trend Micro Apex Oneセキュリティエージェントでリアルタイム検索、予約検索、および手動検索を実行します。"
"OneDrive Updater Service","Manual","LocalSystem","Keeps your OneDrive up to date."
"Program Compatibility Assistant Service","Auto","LocalSystem","このサービスは、プログラム互換性アシスタント (PCA) のサポートを提供します。PCA は、インストールされてユーザーによって実行されるプログラムを監視し、既知の互換性の問題を検出します。このサービスが停止すると、PCA は正しく機能しません。"
